label,text,kontext
0,Zdrava Marija! Varnostnik je na božič odpustil oboževalca Broncos,"Naslov članka trdi, da je na dan tekme ameriškega nogometa, ki je potekala na božični dan in v kateri je tekmovala ekipa Denver Broncos, varnostnik onesposobil navijača ekipe Broncos."
1,"Študija ugotavlja, da je večina strahov, ki niso povezani z morskimi psi, popolnoma neupravičena","Naslov članka trdi, da so znanstveniki s pomočjo raziskave ugotovili, da je večina strahov, ki niso povezani z morskimi psi, neupravičenih. To bi pomenilo, da so samo strahovi, ki so povezani z morskimi psi, upravičeni."
0,o'caseyjeve drame se vračajo na oder irskega gledališča Philly,"Naslov članka trdi, da bodo v irskem gledališču v Filadelfiji ponovno začeli igrati drame, ki jih je napisal irski pisec Seán O'Casey."
1,macarthur genius grant gre prejemniku naravnost v nos,"Naslov članka trdi, da gre MacArthur Genius Grant nagrada, ki je denarna nagrada podeljena posameznikom, ki so izjemni na svojem področju, enemu izmed prejemnikov naravnost v nos oziroma na živce."
0,edinstven pogreb reba zalmana,"Naslov članka trdi, da je bil pogreb preminulega rabina Reba Zalmana edinstven."
1,"drevesa, posajena v revni soseski, dozorijo ravno v času za gentrifikacijo","Naslov članka trdi, da drevesa, ki so bila posajena za dobrobit prebivalcev revne soseske, dozorijo ravno v času za gentrifikacijo, ko soseska postane bolj bogata in se vselijo bogatejši prebivalci. S tem namiguje, da so bila drevesa že sprva posajena za bodoče bogatejše prebivalce."
0,za 'intervju' je celo negativna reklama (kot je ogromen vdor v sony) dobra reklama,"Naslov članka trdi, da je bil vdor v Sony dobra reklama za Sonyjev film Ubijalski Intervju, ki govoru o novinarju, ki je dobil priložnost intervjuja z diktatorjem Severne Koreje Kim Jong Unom, vendar ga ameriška obveščevalna služba CIA najame, da Kim Jong Una ubije. Dobra reklama za film je bila zaradi domneve, da za vdorom stoji sama Severna Koreja."
1,"vodje tyson foods kritikom zagotavljajo, da njihovi piščanci fizično ne morejo hoditi, tudi če bi imeli prostor","Naslov članka trdi, da so vodje ameriškega prehranskega podjetja Tyson Foods poskušali kritike, ki se zavzemajo za etično pridelavo hrane, pomiriti s trditvijo, da njihovi piščanci ne bi morali hoditi, tudi če bi imeli dovolj prostora. S tem so želeli povedati, da je piščancem vseeno, da nimajo dovolj prostora za gibanje, ker tako ali tako niso fizično sposobni stati in zaradi tega način reje ni neetičen."
1,"srednješolski nasilnež, pripravljen razbremeniti vrednost zlorabe poletnih počitnic","Naslov članka trdi, da se neimenovan srednješolski nasilnež pripravlja, da bo nadoknadil nasilje, ki ga ni moral izvajati med poletnimi počitnicami."
0,Ameriška vojska se pripravlja na največjo vrnitev ozemlja Okinawa po letu 1972,"Naslov članka trdi, da se ameriška vojska pripravlja na največjo vrnitev ozemlja v japonski prefekturi Okinawa, ki je bila pod okupacijo ameriške vojske do leta 1972 in od takrat postopoma dobiva nazaj ozemlje."
