label,text,razlaga
0,Zdrava Marija! Varnostnik je na božič odpustil oboževalca Broncos,"Naslov članka ni sarkastičen, ker preprosto poroča o dogodku, kjer je varnostnik na božič odpustil oboževalca Broncos, brez dodajanja ironičnih ali posmehljivih tonov."
1,"Študija ugotavlja, da je večina strahov, ki niso povezani z morskimi psi, popolnoma neupravičena","Naslov članka je sarkastičen, ker namiguje, da so strahovi, povezani z morskimi psi, edini upravičeni, kar je pretirana in humorna trditev."
0,o'caseyjeve drame se vračajo na oder irskega gledališča Philly,"Naslov članka ni sarkastičen, ker preprosto in neposredno obvešča o ponovnem uprizarjanju O'Caseyjevih dram na irskem gledališču v Philadelphiji. Ne vsebuje ironičnih ali posmehljivih tonov, temveč dejansko poroča o kulturnem dogodku."
1,macarthur genius grant gre prejemniku naravnost v nos,"Naslov članka je sarkastičen, ker fraza 'gre prejemniku naravnost v nos' implicira nenavadno ali komično rabo denarja, kar je posmehljivo glede na prestiž in namen nagrade MacArthur Genius Grant."
0,edinstven pogreb reba zalmana,"Naslov članka ni sarkastičen, ker preprosto in spoštljivo opisuje pogreb Reb Zalman kot 'edinstven' brez dodajanja ironičnih ali posmehljivih tonov."
1,"drevesa, posajena v revni soseski, dozorijo ravno v času za gentrifikacijo","Naslov članka je sarkastičen, ker ironično namiguje, da so drevesa posajena z namenom priprave na gentrifikacijo, kar implicira, da je njihova zasaditev načrtovana za korist bodočih, premožnejših prebivalcev."
0,za 'intervju' je celo negativna reklama (kot je ogromen vdor v sony) dobra reklama,"Naslov članka ni sarkastičen, ker neposredno trdi, da je tudi negativna reklama, kot je vdor v Sony, dobra reklama za film 'Intervju'."
1,"vodje tyson foods kritikom zagotavljajo, da njihovi piščanci fizično ne morejo hoditi, tudi če bi imeli prostor","Naslov članka je sarkastičen, ker ironično zagotavlja, da piščanci Tyson Foods ne morejo hoditi, tudi če bi imeli prostor, kar izpostavlja neetične prakse in slabe pogoje za živali."
1,"srednješolski nasilnež, pripravljen razbremeniti vrednost zlorabe poletnih počitnic","Naslov članka je sarkastičen, ker ironično predstavlja srednješolskega nasilneža kot nekoga, ki 'razbremeni vrednost zlorabe poletnih počitnic,' kar implicira, da ima nasilje pozitivno ali konstruktivno vlogo."
0,Ameriška vojska se pripravlja na največjo vrnitev ozemlja Okinawa po letu 1972,"Naslov članka ni sarkastičen, ker preprosto opisuje načrte ameriške vojske za vrnitev ozemlja Okinawa, kar je dejanski dogodek brez dodajanja ironičnih ali posmehljivih tonov."
